 avg rand stream
0 6607014.5 6565760.0 6648269.0
4 7114059.5 7088317.0 7139802.0
8 7398700.0 7373271.0 7424129.0
12 7567916.5 7582744.0 7553089.0
16 7722779.0 7775598.0 7669960.0
20 7804219.0 7866661.0 7741777.0
24 7900567.0 7968972.0 7832162.0
28 8125243.5 8232927.0 8017560.0
32 8320116.5 8341392.0 8298841.0
36 8546064.0 8542021.0 8550107.0
40 9193722.0 9043631.0 9343813.0
44 10112540.0 9781966.0 10443114.0
48 11298045.5 10805671.0 11790420.0
52 12861807.0 12434939.0 13288675.0
56 14075341.0 13480220.0 14670462.0
60 16087016.5 15414547.0 16759486.0
64 17252767.0 16485453.0 18020081.0
68 18573412.0 17669956.0 19476868.0
72 19693075.0 18803649.0 20582501.0
76 20175854.5 19107832.0 21243877.0
80 20791758.5 19660481.0 21923036.0
84 21404521.0 20297728.0 22511314.0
88 21760320.0 20556442.0 22964198.0
92 21595008.5 20198881.0 22991136.0
96 21918630.0 20737497.0 23099763.0
100 22161789.0 20963291.0 23360287.0
104 22063435.0 20785793.0 23341077.0
108 22431441.0 21276872.0 23586010.0
112 22730578.5 21585366.0 23875791.0
116 22423578.0 21123587.0 23723569.0
120 22503880.5 21301069.0 23706692.0
124 22583613.5 21370576.0 23796651.0
128 22502855.0 21244395.0 23761315.0
132 22419852.0 21208850.0 23630854.0
136 22433340.5 21123546.0 23743135.0
140 22523883.0 21313521.0 23734245.0
144 22459808.5 21222887.0 23696730.0
148 22800281.5 21575323.0 24025240.0
152 22576548.0 21354281.0 23798815.0
156 22457088.0 21109861.0 23804315.0
160 22800269.5 21692598.0 23907941.0
164 22683994.0 21361956.0 24006032.0
168 22779020.5 21623869.0 23934172.0
172 22724523.5 21592686.0 23856361.0
176 22673688.0 21394586.0 23952790.0
180 22748753.5 21563326.0 23934181.0
184 22857815.0 21610677.0 24104953.0
188 22739086.0 21543199.0 23934973.0
192 22706462.5 21533662.0 23879263.0
196 22748861.5 21541771.0 23955952.0
200 22833344.0 21652710.0 24013978.0
204 22824994.5 21666307.0 23983682.0
208 22846448.5 21698423.0 23994474.0
212 22828442.5 21635382.0 24021503.0
216 22801850.0 21617505.0 23986195.0
220 22896142.0 21728092.0 24064192.0
224 22823646.0 21569711.0 24077581.0
