footprint_mb perf
0 8756.440281030445
4 8891.437091735303
8 8920.179052448106
12 9206.081081081082
16 9243.839427662957
20 9256.951125649413
24 9330.094409024032
28 9467.480383609416
32 9353.543411780349
36 9304.344151453684
40 9376.166355638496
44 9492.98160696999
48 9611.601826121476
52 9838.180279213972
56 9830.579781353643
60 9940.940576011666
64 10313.298123916127
68 10308.491212052042
72 10373.55533082924
76 10350.27318576632
80 10512.27959697733
84 10312.040053082399
88 10350.89869725841
92 10453.581026946216
96 10344.681414756922
100 10464.265876689502
104 10479.890750182083
108 10699.57729468599
112 10964.110929853181
