name avg rand stream
603.bwaves_s 11413256.0 10674673.0 12151839.0
607.cactuBSSN_s 8486085.0 8599382.0 8372788.0
619.lbm_s 21988786.0 19570434.0 24407138.0
627.cam4_s 6847041.0 6853280.0 6840802.0
628.pop2_s 8539739.5 8899658.0 8179821.0
638.imagick_s 6926687.5 7067285.0 6786090.0
644.nab_s 6752994.0 6812606.0 6693382.0
649.fotonik3d_s 12784582.0 12931190.0 12637974.0
654.roms_s 10431063.0 10325915.0 10536211.0
600.perlbench_s 6649325.0 6641547.0 6657103.0
602.gcc_s 6804350.5 6863668.0 6745033.0
605.mcf_s 7166001.5 7355006.0 6976997.0
620.omnetpp_s 7134553.5 7314262.0 6954845.0
623.xalancbmk_s 6646064.5 6670205.0 6621924.0
625.x264_s 6691265.0 6729688.0 6652842.0
631.deepsjeng_s 6669616.5 6691849.0 6647384.0
641.leela_s 6630981.0 6633563.0 6628399.0
648.exchange2_s 6612204.0 6595661.0 6628747.0
657.xz_s 6934989.5 6780924.0 7089055.0
