footprint_mb perf
0 39.453340402969246
4 43.394822006472495
8 49.87557251908397
12 52.30728051391863
16 52.57401735579377
20 56.29758883248731
24 57.61773185968284
28 58.72878959276018
32 60.845419847328245
36 62.49488054607509
40 69.02504105090313
44 71.54590707964601
48 86.38202247191012
52 95.26265520534861
56 106.5779748706578
60 115.16064257028113
64 131.9387755102041
68 139.97309417040358
72 147.9874213836478
76 147.00911350455675
80 148.61826697892272
84 160.39913700107874
88 153.49514563106797
92 159.8572884811417
96 159.31201550387595
100 160
104 164.7681451612903
108 155.97804391217565
112 159.00299102691923
