 avg rand stream
0 6607014.5 6565760.0 6648269.0
4 7114059.5 7088317.0 7139802.0
8 7398700.0 7373271.0 7424129.0
12 7567916.5 7582744.0 7553089.0
16 7722779.0 7775598.0 7669960.0
20 7804219.0 7866661.0 7741777.0
24 7900567.0 7968972.0 7832162.0
28 8125243.5 8232927.0 8017560.0
32 8320116.5 8341392.0 8298841.0
36 8546064.0 8542021.0 8550107.0
40 9193722.0 9043631.0 9343813.0
44 10112540.0 9781966.0 10443114.0
48 11298045.5 10805671.0 11790420.0
52 12861807.0 12434939.0 13288675.0
56 14075341.0 13480220.0 14670462.0
60 16087016.5 15414547.0 16759486.0
64 17252767.0 16485453.0 18020081.0
68 18573412.0 17669956.0 19476868.0
72 19693075.0 18803649.0 20582501.0
76 20175854.5 19107832.0 21243877.0
80 20791758.5 19660481.0 21923036.0
84 21404521.0 20297728.0 22511314.0
88 21760320.0 20556442.0 22964198.0
92 21595008.5 20198881.0 22991136.0
96 21918630.0 20737497.0 23099763.0
100 22161789.0 20963291.0 23360287.0
104 22063435.0 20785793.0 23341077.0
108 22431441.0 21276872.0 23586010.0
112 22730578.5 21585366.0 23875791.0
0 6668405.5
0 6673503.0
4 7274345.0
8 7546754.0
0 6679931.5
4 7245961.5
8 7488351.5
12 7700474.5
0 6672580.5
4 7209250.0
