footprint_mb perf
0 1125.8227305531748
4 1128.6913034746299
8 1126.8413208879128
12 1126.122670458798
16 1126.7722658580853
20 1126.8099502880139
24 1127.2119024638946
28 1127.0063116724132
32 1131.146272279132
36 1128.0240203480037
40 1129.8391883870272
44 1128.8425584255842
48 1130.146655494773
52 1138.8801423779862
56 1143.6308875578545
60 1152.114024530271
64 1153.8157374456307
68 1164.4087441314555
72 1167.8538961294782
76 1163.4317052478486
80 1163.3267576408214
84 1167.3959307248606
88 1169.3049610361102
92 1168.6440120077789
96 1168.9762206897499
100 1169.9221779823156
104 1166.4542171483113
108 1174.8328915604557
112 1166.4183175423486
